name,album,artist,id,popularity,length,mood
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,68,379266,Happy
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,43,318800,Sad
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,60,217946,Sad
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,2,233000,Happy
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,60,268000,Energetic
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,27,129410,Calm
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,29,141888,Calm
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,1,211173,Happy
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,68,184640,Energetic
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,0,189200,Energetic
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,55,197189,Energetic
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,52,182000,Calm
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,53,158117,Calm
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,38,225680,Energetic
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,84,295893,Happy
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,24,116625,Calm
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,13,351560,Energetic
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,0,210626,Sad
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,0,231893,Sad
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,51,180468,Energetic
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,29,306600,Sad
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,1,282026,Sad
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,39,225440,Energetic
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,39,219573,Energetic
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,85,269560,Sad
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,22,170458,Happy
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,63,231200,Energetic
Ambre,Wintermusik,Nils Frahm,0suQ6B8Bsp0tFuCXx652Az,0,227639,Calm
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,38,174244,Calm
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,0,256282,Sad
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,36,280186,Sad
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,58,197243,Sad
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,22,288400,Energetic
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,44,158483,Happy
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,56,216026,Energetic
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,75,213800,Happy
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,55,193471,Energetic
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,51,310226,Sad
Atlavík,Varða,Hugar,6WdO6Ds95sLALCqCOfbDQh,53,155733,Calm
Auburn Sky,Auburn Sky,Toledo Rains,42BtxDRqFTbE6Jb6rd9QOZ,48,162829,Calm
Awaken,Awaken,William Duhamel,00ZtJgQax06A96l8sMcmlB,55,129936,Calm
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,0,238466,Energetic
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,56,174202,Energetic
Back+,Back+,Ton Snijders,6MrVWgw16iHBGRntjRkGQq,26,198746,Calm
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,39,157930,Sad
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,57,193220,Sad
